Name,Category,Type,LGA,Tentative_Population,Priority_Tier,Latitude,Longitude,Navigation_Link
Ukwodoko,Settlement,village,Ankpa,Medium (2k-10k),2,7.405537,7.851797,"https://www.google.com/maps/search/?api=1&query=7.405537,7.851797"
Inye,Settlement,village,Ankpa,Medium (2k-10k),2,7.5168,7.6391,"https://www.google.com/maps/search/?api=1&query=7.5168,7.6391"
Abache,Settlement,village,Ankpa,Medium (2k-10k),2,7.3551,7.6407,"https://www.google.com/maps/search/?api=1&query=7.3551,7.6407"
Gidan Aka,Settlement,village,Ankpa,Medium (2k-10k),2,7.5634,7.6498,"https://www.google.com/maps/search/?api=1&query=7.5634,7.6498"
Aka,Settlement,village,Ankpa,Medium (2k-10k),2,7.3592,7.5422,"https://www.google.com/maps/search/?api=1&query=7.3592,7.5422"
Oguaobono,Settlement,village,Ankpa,Medium (2k-10k),2,7.5523675,7.6711205,"https://www.google.com/maps/search/?api=1&query=7.5523675,7.6711205"
Ankpa,Settlement,town,Ankpa,High (20k-50k),1,7.4063578,7.6280211,"https://www.google.com/maps/search/?api=1&query=7.4063578,7.6280211"
Emabo,Settlement,village,Ankpa,Medium (2k-10k),2,7.428906,7.729842,"https://www.google.com/maps/search/?api=1&query=7.428906,7.729842"
Hoche,Settlement,village,Ankpa,Medium (2k-10k),2,7.4743,7.7415,"https://www.google.com/maps/search/?api=1&query=7.4743,7.7415"
Uboko,Settlement,village,Ankpa,Medium (2k-10k),2,7.4146,7.7277,"https://www.google.com/maps/search/?api=1&query=7.4146,7.7277"
Abakpa,Settlement,village,Ankpa,Medium (2k-10k),2,7.348843,7.8084633,"https://www.google.com/maps/search/?api=1&query=7.348843,7.8084633"
Emere,Settlement,village,Ankpa,Medium (2k-10k),2,7.4144,7.6516,"https://www.google.com/maps/search/?api=1&query=7.4144,7.6516"
Okenyi,Settlement,village,Ankpa,Medium (2k-10k),2,7.3113,7.7769,"https://www.google.com/maps/search/?api=1&query=7.3113,7.7769"
Awulu,Settlement,village,Ankpa,Medium (2k-10k),2,7.5753,7.6517,"https://www.google.com/maps/search/?api=1&query=7.5753,7.6517"
Gbagede,Settlement,village,Bassa,Medium (2k-10k),2,7.6994931,6.7784721,"https://www.google.com/maps/search/?api=1&query=7.6994931,6.7784721"
Arugaga,Settlement,hamlet,Bassa,Low (<1k),3,7.4824,6.8076,"https://www.google.com/maps/search/?api=1&query=7.4824,6.8076"
Magu,Settlement,hamlet,Bassa,Low (<1k),3,7.4833,6.7964,"https://www.google.com/maps/search/?api=1&query=7.4833,6.7964"
Nyimoa,Settlement,village,Bassa,Medium (2k-10k),2,7.866667,7.083333,"https://www.google.com/maps/search/?api=1&query=7.866667,7.083333"
Nabure,Settlement,hamlet,Bassa,Low (<1k),3,7.483333,6.783333,"https://www.google.com/maps/search/?api=1&query=7.483333,6.783333"
Paperi,Settlement,village,Bassa,Medium (2k-10k),2,7.8,7.05,"https://www.google.com/maps/search/?api=1&query=7.8,7.05"
Kipi,Settlement,village,Bassa,Medium (2k-10k),2,7.866667,7.133333,"https://www.google.com/maps/search/?api=1&query=7.866667,7.133333"
Gboloko,Settlement,village,Bassa,Medium (2k-10k),2,7.7291,6.8942,"https://www.google.com/maps/search/?api=1&query=7.7291,6.8942"
Kpatakpoli,Settlement,village,Bassa,Medium (2k-10k),2,7.7688066,6.7905893,"https://www.google.com/maps/search/?api=1&query=7.7688066,6.7905893"
Emi Atsumbe,Settlement,village,Bassa,Medium (2k-10k),2,7.7483225,6.9092779,"https://www.google.com/maps/search/?api=1&query=7.7483225,6.9092779"
Icheu,Settlement,village,Bassa,Medium (2k-10k),2,7.7066827,6.7717852,"https://www.google.com/maps/search/?api=1&query=7.7066827,6.7717852"
Emikudamisi,Settlement,hamlet,Bassa,Low (<1k),3,7.4907,6.7905,"https://www.google.com/maps/search/?api=1&query=7.4907,6.7905"
Nyankpo,Settlement,village,Bassa,Medium (2k-10k),2,7.7619298,6.923611,"https://www.google.com/maps/search/?api=1&query=7.7619298,6.923611"
Adam,Settlement,village,Bassa,Medium (2k-10k),2,7.4597984,6.7757,"https://www.google.com/maps/search/?api=1&query=7.4597984,6.7757"
Gbaqede,Settlement,village,Bassa,Medium (2k-10k),2,7.6989774,6.7773198,"https://www.google.com/maps/search/?api=1&query=7.6989774,6.7773198"
Mozum,Settlement,village,Bassa,Medium (2k-10k),2,7.8563118,6.9421616,"https://www.google.com/maps/search/?api=1&query=7.8563118,6.9421616"
Iyede,Settlement,village,Bassa,Medium (2k-10k),2,7.85,7.066667,"https://www.google.com/maps/search/?api=1&query=7.85,7.066667"
Emikudamisi,Settlement,hamlet,Bassa,Low (<1k),3,7.484783,6.7777644,"https://www.google.com/maps/search/?api=1&query=7.484783,6.7777644"
Odenyi,Settlement,village,Bassa,Medium (2k-10k),2,7.7888,7.0317,"https://www.google.com/maps/search/?api=1&query=7.7888,7.0317"
Usuman,Settlement,village,Bassa,Medium (2k-10k),2,7.866667,7.166667,"https://www.google.com/maps/search/?api=1&query=7.866667,7.166667"
Akpelu,Settlement,village,Bassa,Medium (2k-10k),2,7.7,7.083333,"https://www.google.com/maps/search/?api=1&query=7.7,7.083333"
Duru,Settlement,village,Bassa,Medium (2k-10k),2,7.833333,7.05,"https://www.google.com/maps/search/?api=1&query=7.833333,7.05"
Kpato,Settlement,village,Bassa,Medium (2k-10k),2,7.735615,6.797408,"https://www.google.com/maps/search/?api=1&query=7.735615,6.797408"
